input,result,expected
Isabella,Poland,Ireland
Barendina,Ireland, Netherlands
Cornelis,Poland, Netherlands
Annetje,Poland, Netherlands
Anna,Poland,Ireland
Ladislaus,Poland,Poland
Arnoldus,Netherlands, Netherlands
Johanna,Poland, Netherlands
Cornelia,Poland, Netherlands
Cornelia,Poland, Netherlands
Hendrika,Netherlands, Netherlands
William,Poland,Ireland
Joseph,Poland,Ireland
John,Ireland,Ireland
Johanna,Ireland, Netherlands
Johannes,Poland, Netherlands
Joseph,Poland,Ireland
Owen,Poland,Ireland
Pieter,Poland, Netherlands
Adriana,Poland, Netherlands
Magdalena,Poland, Netherlands
Joannes,Ireland,Poland
Nelia,Poland, Netherlands
Tekla,Poland, Poland
Sara,Poland, Netherlands
Stanislaus,Poland,Poland
Josephine,Poland,Ireland
Stanisław,Poland, Poland
Josephus,Poland,Poland
Franciszka,Poland, Poland
Petrus,Poland, Netherlands
Sophia,Poland, Netherlands
Joannes,Poland,Poland
Jan,Ireland, Netherlands
Grace,Poland,Ireland
Helena,Poland, Poland
Jan,Ireland, Netherlands
Josephus,Poland,Poland
Willem,Ireland, Netherlands
Wilhelmus,Poland, Netherlands
Gijsberta,Poland, Netherlands
Hedvigis,Poland,Poland
Petrus,Poland, Netherlands
Peter,Poland,Ireland
Kazimierz,Poland, Poland
Johanna,Poland, Netherlands
Antonia,Poland, Netherlands
Boudiene,Poland, Netherlands
Marianus,Poland,Poland
Hendrika,Poland, Netherlands
James,Poland,Ireland
Maria,Poland, Netherlands
Myer,Poland,Ireland
Ellen,Netherlands,Ireland
Patrick,Ireland,Ireland
Helena,Poland, Poland
Maria,Poland, Netherlands
Antonie,Ireland, Netherlands
Skarbele,Poland,Poland
Mary,Ireland,Ireland
Daniel,Poland, Netherlands
Joannes,Netherlands,Poland
Catharina,Ireland,Poland
Catherine,Ireland,Ireland
Józef,Poland, Poland
Adam,Poland, Poland
Angela,Poland,Poland
Angela,Poland,Poland
Jan,Poland, Poland
Joseph,Poland, Netherlands
Pieter,Poland, Netherlands
Władysław,Poland, Poland
Antonius,Ireland,Poland
Floris,Ireland, Netherlands
Jan,Poland, Poland
Tadeusz,Poland, Poland
Adriaan,Poland, Netherlands
Pleuntje,Ireland, Netherlands
Maartje,Poland, Netherlands
Anna,Poland,Poland
Theodorus,Poland, Netherlands
William,Poland,Ireland
Meretta,Ireland, Netherlands
Joanns,Ireland,Poland
Karol,Poland, Poland
Antonia,Poland, Netherlands
Benjamin,Poland,Ireland
Sophia,Poland,Poland
John,Ireland,Ireland
Johan,Netherlands, Netherlands
Hendrik,Ireland, Netherlands
Angela,Poland,Poland
Ewa,Poland, Poland
Annigje,Poland, Netherlands
Maria,Poland,Poland
,Poland, Poland
Annie,Poland,Ireland
Henri,Ireland, Netherlands
Gerrit,Netherlands, Netherlands
Susan,Poland,Ireland
Johanna,Poland, Netherlands
Johannes,Poland, Netherlands
Thomas,Poland,Poland
Johan,Poland, Netherlands
Mikołaj,Poland, Poland
Johanna,Ireland, Netherlands
Cornelis,Netherlands, Netherlands
Marianna,Poland, Poland
Cornelis,Netherlands, Netherlands
Maria,Poland, Netherlands
Karel,Ireland, Netherlands
Joshua,Poland,Ireland
Jan,Poland, Poland
Ingetje,Poland, Netherlands
Maria,Poland,Poland
William,Ireland,Ireland
Marianna,Poland, Poland
Franciscus,Poland,Poland
William,Poland,Ireland
Kornelis,Poland, Netherlands
